,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
31,-2.779840968,-0.442715273,12.43834068,0.00698,0.00116,-0.01164,3
32,-2.726246367,-0.546904394,12.32062959,-0.02792,-0.02094,-0.00582,3
33,-2.718164463,-0.648740889,12.19362723,-0.00931,-0.00465,-0.01047,3
34,-2.933451285,-0.590230532,12.11039968,0.05701,0.03607,-0.03258,3
35,-3.002865325,-0.571527004,12.20450625,0.04189,0.03142,-0.02676,3
36,-2.996058642,-0.575770681,11.90126606,-0.03491,-0.01629,-0.00582,3
37,-2.614857059,-0.49398714,11.74785214,0.01047,0.00814,-0.01862,3
38,-2.201948847,-0.451526094,11.591489,-0.01745,-0.01396,-0.00814,3
39,-1.687025194,-0.584580133,11.09594232,-0.03374,-0.02211,-0.00582,3
40,-1.135182638,-0.413847799,11.31500178,-0.00116,-0.00116,-0.0128,3
41,-0.816056059,-0.438685276,11.27192448,0.06748,0.04421,-0.03142,3
42,-0.380733594,-0.491302827,11.33048145,0.04305,0.02792,-0.02909,3
43,-0.098562592,-0.559694549,11.09669236,0.00698,0.00465,-0.01513,3
44,-0.163648543,-0.624633696,11.0056216,-0.02792,-0.01629,-0.00349,3
45,0.163754538,-0.534091007,10.96158717,-0.03025,-0.01978,-0.00349,3
46,0.399302182,-0.604146996,10.9639429,-0.03956,-0.02443,-0.00116,3
47,0.120673978,-0.542381475,11.27633054,-0.04887,-0.03374,-0.00698,3
48,0.167330881,-0.284831893,11.64028256,0.00233,0.00465,-0.01047,3
49,0.276224477,-0.22918637,11.72035619,0.0477,0.02909,-0.02909,3
50,0.556466212,-0.427327602,11.64961553,-0.01862,-0.01047,-0.01047,3
51,0.248098778,-0.287757283,11.80140257,-0.00116,0.00116,-0.01396,3
52,0.240961316,-0.038396618,11.92439214,0.0256,0.0128,-0.02327,3
53,0.360460138,0.032893546,12.00751428,-0.00931,-0.00233,-0.01164,3
54,0.368999746,0.058578123,11.72757973,-0.01396,-0.00698,-0.00582,3
55,0.389924201,0.089623312,11.95312982,-0.03956,-0.0256,-0.00349,3
56,0.607207062,0.096942319,12.06790693,-0.03491,-0.02211,-0.00465,3
57,0.622358958,0.233277991,11.90345609,-0.04887,-0.0256,-0.00698,3
58,0.660981556,0.359148176,11.81059108,-0.00931,-0.00349,-0.00814,3
59,0.622088066,0.328286916,11.7253647,-0.02094,-0.01629,-0.01047,3
60,0.52788123,0.504142345,11.47030946,0.03025,0.01978,-0.01978,3
61,0.551650645,0.509840714,11.41068503,0.03956,0.02443,-0.01629,3
62,0.516721093,0.597305268,11.10223123,-0.02792,-0.01978,-0.00698,3
63,0.428800909,0.463037948,10.56890442,-0.05352,-0.03723,-0.00582,3
64,0.232602485,0.440558156,10.12660112,-0.00465,-0.00116,-0.01164,3
65,0.261692313,0.27299935,9.788251222,0.00349,0.00582,-0.01047,3
66,0.018752062,0.099888775,9.712775554,-0.02327,-0.01396,-0.00814,3
67,-0.295872093,-0.159180249,9.694269002,-0.08959,-0.06167,-0.00349,3
68,-0.243772377,-0.309526583,9.545100495,-0.06632,-0.05469,-0.00931,3
69,-0.122015852,-0.370937579,9.612126526,-0.00814,-0.00814,-0.01513,3
70,-0.180010167,-0.596082305,9.135591067,0.05119,0.04654,-0.01745,3
71,0.005567204,-0.571949391,9.31043597,0.08959,0.0733,-0.02792,3
72,-0.066016997,-0.594237298,9.501673876,0.03374,0.02676,-0.0256,3
73,-0.263194811,-0.740990228,9.773178866,-0.02909,-0.02211,-0.00465,3
74,-0.224121662,-0.791217376,10.01137606,-0.0384,-0.0256,-0.00465,3
75,-0.078688273,-0.922952948,10.35306019,-0.03025,-0.01862,-0.00931,3
